64386: done 70 games, mean reward -20.371, eps 0.75, speed 105.09 f/s, time till now 533.779 s
65273: done 71 games, mean reward -20.366, eps 0.75, speed 105.85 f/s, time till now 542.158 s
66179: done 72 games, mean reward -20.375, eps 0.75, speed 103.88 f/s, time till now 550.879 s
67197: done 73 games, mean reward -20.370, eps 0.74, speed 105.89 f/s, time till now 560.493 s
68103: done 74 games, mean reward -20.378, eps 0.74, speed 105.50 f/s, time till now 569.081 s
69077: done 75 games, mean reward -20.387, eps 0.74, speed 105.07 f/s, time till now 578.352 s
69993: done 76 games, mean reward -20.382, eps 0.73, speed 105.31 f/s, time till now 587.050 s
71088: done 77 games, mean reward -20.364, eps 0.73, speed 105.85 f/s, time till now 597.395 s
71939: done 78 games, mean reward -20.372, eps 0.73, speed 104.90 f/s, time till now 605.508 s
72931: done 79 games, mean reward -20.367, eps 0.72, speed 104.94 f/s, time till now 614.960 s
73843: done 80 games, mean reward -20.375, eps 0.72, speed 105.40 f/s, time till now 623.613 s
74719: done 81 games, mean reward -20.370, eps 0.72, speed 105.37 f/s, time till now 631.927 s
75661: done 82 games, mean reward -20.378, eps 0.72, speed 105.42 f/s, time till now 640.862 s
76616: done 83 games, mean reward -20.361, eps 0.71, speed 104.70 f/s, time till now 649.984 s
77486: done 84 games, mean reward -20.369, eps 0.71, speed 105.53 f/s, time till now 658.228 s
78415: done 85 games, mean reward -20.376, eps 0.71, speed 104.63 f/s, time till now 667.107 s
79538: done 86 games, mean reward -20.360, eps 0.70, speed 104.41 f/s, time till now 677.863 s
80417: done 87 games, mean reward -20.368, eps 0.70, speed 104.73 f/s, time till now 686.255 s
81226: done 88 games, mean reward -20.375, eps 0.70, speed 104.40 f/s, time till now 694.004 s
82130: done 89 games, mean reward -20.371, eps 0.70, speed 105.35 f/s, time till now 702.585 s
83177: done 90 games, mean reward -20.367, eps 0.69, speed 104.83 f/s, time till now 712.572 s
84278: done 91 games, mean reward -20.363, eps 0.69, speed 105.14 f/s, time till now 723.044 s
85370: done 92 games, mean reward -20.348, eps 0.69, speed 104.41 f/s, time till now 733.503 s
86211: done 93 games, mean reward -20.344, eps 0.68, speed 105.34 f/s, time till now 741.486 s
87237: done 94 games, mean reward -20.330, eps 0.68, speed 104.23 f/s, time till now 751.329 s
88231: done 95 games, mean reward -20.337, eps 0.68, speed 104.62 f/s, time till now 760.831 s
89072: done 96 games, mean reward -20.344, eps 0.68, speed 104.67 f/s, time till now 768.865 s
90194: done 97 games, mean reward -20.330, eps 0.67, speed 104.77 f/s, time till now 779.574 s
91045: done 98 games, mean reward -20.337, eps 0.67, speed 105.20 f/s, time till now 787.663 s
92221: done 99 games, mean reward -20.313, eps 0.67, speed 105.67 f/s, time till now 798.792 s
93407: done 100 games, mean reward -20.300, eps 0.66, speed 104.68 f/s, time till now 810.122 s
94618: done 101 games, mean reward -20.320, eps 0.66, speed 105.10 f/s, time till now 821.644 s
95693: done 102 games, mean reward -20.300, eps 0.66, speed 104.40 f/s, time till now 831.941 s
96611: done 103 games, mean reward -20.300, eps 0.66, speed 104.57 f/s, time till now 840.720 s
97454: done 104 games, mean reward -20.300, eps 0.65, speed 104.36 f/s, time till now 848.797 s
98596: done 105 games, mean reward -20.290, eps 0.65, speed 104.95 f/s, time till now 859.679 s
99584: done 106 games, mean reward -20.280, eps 0.65, speed 104.89 f/s, time till now 869.098 s
100628: done 107 games, mean reward -20.270, eps 0.64, speed 104.73 f/s, time till now 879.066 s
101598: done 108 games, mean reward -20.270, eps 0.64, speed 104.99 f/s, time till now 888.305 s
102529: done 109 games, mean reward -20.280, eps 0.64, speed 104.58 f/s, time till now 897.207 s
103860: done 110 games, mean reward -20.260, eps 0.64, speed 103.70 f/s, time till now 910.042 s
105114: done 111 games, mean reward -20.260, eps 0.63, speed 104.69 f/s, time till now 922.021 s
106049: done 112 games, mean reward -20.260, eps 0.63, speed 104.12 f/s, time till now 931.002 s
107211: done 113 games, mean reward -20.270, eps 0.63, speed 104.86 f/s, time till now 942.083 s
108534: done 114 games, mean reward -20.230, eps 0.62, speed 103.77 f/s, time till now 954.833 s
109427: done 115 games, mean reward -20.230, eps 0.62, speed 104.42 f/s, time till now 963.385 s
110444: done 116 games, mean reward -20.230, eps 0.62, speed 102.64 f/s, time till now 973.293 s
111776: done 117 games, mean reward -20.200, eps 0.61, speed 104.40 f/s, time till now 986.052 s
112774: done 118 games, mean reward -20.190, eps 0.61, speed 104.39 f/s, time till now 995.612 s
113710: done 119 games, mean reward -20.180, eps 0.61, speed 104.32 f/s, time till now 1004.584 s
114882: done 120 games, mean reward -20.170, eps 0.61, speed 103.98 f/s, time till now 1015.855 s
116326: done 121 games, mean reward -20.140, eps 0.60, speed 104.15 f/s, time till now 1029.719 s
117701: done 122 games, mean reward -20.110, eps 0.60, speed 103.28 f/s, time till now 1043.033 s
118860: done 123 games, mean reward -20.080, eps 0.60, speed 104.13 f/s, time till now 1054.163 s
120137: done 124 games, mean reward -20.050, eps 0.59, speed 104.66 f/s, time till now 1066.365 s
121204: done 125 games, mean reward -20.050, eps 0.59, speed 104.85 f/s, time till now 1076.542 s
122450: done 126 games, mean reward -20.020, eps 0.59, speed 103.99 f/s, time till now 1088.524 s
123491: done 127 games, mean reward -20.010, eps 0.59, speed 104.31 f/s, time till now 1098.503 s
124815: done 128 games, mean reward -20.000, eps 0.58, speed 104.17 f/s, time till now 1111.213 s
126244: done 129 games, mean reward -19.990, eps 0.58, speed 104.90 f/s, time till now 1124.835 s
127651: done 130 games, mean reward -19.960, eps 0.58, speed 103.96 f/s, time till now 1138.370 s
128779: done 131 games, mean reward -19.970, eps 0.57, speed 102.36 f/s, time till now 1149.390 s
129906: done 132 games, mean reward -19.970, eps 0.57, speed 104.06 f/s, time till now 1160.221 s
131187: done 133 games, mean reward -19.950, eps 0.57, speed 103.74 f/s, time till now 1172.569 s
132584: done 134 games, mean reward -19.930, eps 0.56, speed 104.48 f/s, time till now 1185.940 s
133669: done 135 games, mean reward -19.920, eps 0.56, speed 104.87 f/s, time till now 1196.286 s
134937: done 136 games, mean reward -19.900, eps 0.56, speed 103.59 f/s, time till now 1208.527 s
136316: done 137 games, mean reward -19.850, eps 0.56, speed 104.40 f/s, time till now 1221.735 s
137591: done 138 games, mean reward -19.840, eps 0.55, speed 104.44 f/s, time till now 1233.943 s
139006: done 139 games, mean reward -19.820, eps 0.55, speed 103.71 f/s, time till now 1247.587 s
140444: done 140 games, mean reward -19.780, eps 0.55, speed 103.29 f/s, time till now 1261.508 s
142020: done 141 games, mean reward -19.730, eps 0.54, speed 101.37 f/s, time till now 1277.056 s
143444: done 142 games, mean reward -19.710, eps 0.54, speed 104.24 f/s, time till now 1290.717 s
144895: done 143 games, mean reward -19.660, eps 0.54, speed 103.41 f/s, time till now 1304.748 s
145996: done 144 games, mean reward -19.660, eps 0.53, speed 103.99 f/s, time till now 1315.336 s
146976: done 145 games, mean reward -19.650, eps 0.53, speed 103.51 f/s, time till now 1324.804 s
148134: done 146 games, mean reward -19.650, eps 0.53, speed 102.99 f/s, time till now 1336.047 s
149493: done 147 games, mean reward -19.640, eps 0.53, speed 103.56 f/s, time till now 1349.171 s
150981: done 148 games, mean reward -19.620, eps 0.52, speed 104.32 f/s, time till now 1363.435 s
152363: done 149 games, mean reward -19.620, eps 0.52, speed 103.60 f/s, time till now 1376.775 s
153688: done 150 games, mean reward -19.590, eps 0.52, speed 103.78 f/s, time till now 1389.542 s
155089: done 151 games, mean reward -19.580, eps 0.51, speed 103.41 f/s, time till now 1403.091 s
156148: done 152 games, mean reward -19.590, eps 0.51, speed 102.42 f/s, time till now 1413.431 s
157378: done 153 games, mean reward -19.590, eps 0.51, speed 103.85 f/s, time till now 1425.274 s
158628: done 154 games, mean reward -19.580, eps 0.51, speed 103.15 f/s, time till now 1437.392 s
160151: done 155 games, mean reward -19.560, eps 0.50, speed 103.03 f/s, time till now 1452.174 s
161377: done 156 games, mean reward -19.550, eps 0.50, speed 104.16 f/s, time till now 1463.945 s
162626: done 157 games, mean reward -19.540, eps 0.50, speed 102.98 f/s, time till now 1476.073 s
163896: done 158 games, mean reward -19.520, eps 0.50, speed 103.88 f/s, time till now 1488.298 s
165052: done 159 games, mean reward -19.540, eps 0.49, speed 103.62 f/s, time till now 1499.454 s
166266: done 160 games, mean reward -19.550, eps 0.49, speed 102.17 f/s, time till now 1511.336 s
168305: done 161 games, mean reward -19.510, eps 0.49, speed 103.81 f/s, time till now 1530.977 s
169682: done 162 games, mean reward -19.500, eps 0.49, speed 102.86 f/s, time till now 1544.365 s
